sce_id,syn_val,compile_val,vul,vul_uncompile
190-0,"['16', '13', '3', '10', '26', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '22', '24', '14', '17', '23', '2', '29', '5', '12', '7', '25', '21', '11', '4', '28']","['16', '13', '3', '10', '15', '1', '18', '9', '19', '30', '27', '8', '20', '6', '22', '24', '14', '17', '2', '29', '5', '12', '7', '25', '21', '11', '4', '28']",[],[]
476-1,"['17', '12', '20', '3', '10', '24', '13', '14', '30', '25', '18', '7', '9', '15', '27', '11', '28', '1', '19', '22', '4', '21', '6', '5', '29', '23', '16', '8', '26', '2']","['17', '20', '10', '24', '14', '9', '15', '11', '19', '6', '5', '29', '16', '8']","['10', '11', '14', '15', '16', '17', '19', '20', '24', '29', '5', '6', '8', '9']","['1', '1', '12', '13', '13', '13', '18', '2', '21', '22', '23', '25', '25', '26', '26', '26', '27', '28', '3', '30', '4', '7']"
119-1,"['8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '11', '27', '9', '30', '26', '25', '14', '13', '29', '16', '5', '18', '21', '6', '10', '4', '23', '15', '7', '20']","['8', '22', '28', '17', '12', '3', '24', '2', '1', '19', '27', '9', '25', '14', '13', '29', '16', '5', '18', '6', '10', '4', '23', '15', '7', '20']","['15', '2', '20', '23', '24', '27', '6', '7', '9']",[]
78-2,"['4', '2', '29', '28', '13', '22', '5', '20', '21', '27', '25', '3', '12', '6', '17', '18', '9', '19', '14', '11', '10', '8', '26', '7', '15', '24', '16', '23', '30', '1']","['4', '28', '22', '5', '21', '25', '3', '6', '17', '9', '19', '10', '8', '24', '30']","['10', '19', '21', '22', '24', '25', '3', '30', '4', '5', '6', '8', '9']","['11', '12', '16', '29', '7']"
125-2,"['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['1', '14', '8', '24', '12', '26', '23', '2', '4', '29', '3', '22', '27', '10', '19', '6', '5', '9', '18', '30', '15', '7', '28', '11', '20', '17', '25', '21', '13', '16']","['12', '24', '4', '6']",[]
125-1,"['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['28', '8', '14', '17', '3', '20', '16', '2', '30', '12', '5', '29', '9', '15', '1', '23', '26', '10', '4', '18', '19', '25', '11', '21', '13', '27', '7', '24', '6', '22']","['17', '18', '25', '26', '28']",[]
125-0,"['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['6', '16', '25', '29', '28', '3', '30', '11', '27', '12', '13', '24', '15', '1', '7', '14', '8', '19', '22', '10', '9', '2', '23', '20', '18', '21', '4', '26', '5', '17']","['1', '11', '18', '21', '23', '28', '29', '5', '7', '9']",[]
119-0,"['11', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '25', '2', '18', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '17', '24', '4']","['11', '16', '8', '1', '19', '5', '28', '10', '29', '23', '26', '15', '25', '2', '14', '13', '9', '6', '12', '27', '30', '3', '7', '22', '21', '20', '24', '4']","['21', '23', '24', '9']",[]
787-1,"['2', '26', '23', '4', '1', '29', '16', '5', '20', '10', '11', '28', '18', '27', '13', '15', '25', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['2', '26', '23', '4', '1', '29', '16', '5', '10', '11', '28', '18', '27', '13', '25', '12', '3', '9', '7', '21', '6', '17', '24', '22', '30', '19', '8', '14']","['12', '17', '21', '22', '24', '4', '5']",[]
190-2,"['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['27', '30', '16', '4', '26', '29', '12', '24', '5', '11', '3', '13', '7', '25', '14', '9', '23', '17', '21', '15', '8', '19', '22', '2', '6', '1', '10', '28', '18', '20']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '4', '5', '6', '7', '8', '9']",[]
416-1,"['27', '23', '19', '6', '14', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '12', '17', '30', '16', '8', '24', '25', '3', '13']","['27', '23', '19', '14', '11', '18', '2', '10', '15', '5', '4', '22', '9', '7', '29', '28', '20', '1', '26', '21', '12', '17', '30', '16', '8', '24', '25', '3', '13']",[],[]
